title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Idol Kyousei Sousa,OVA,2,Finished Airing,,,,Hentai,,add some,add some,,Rx - Hentai,4.67,,9957.0,4066.0,4.0
Hei Mao Jing Zhang,TV,5.0,Finished Airing,Winter 1984,Winter,1984.0,"Action, Adventure, Comedy, Mystery","Detective, Racing",Shanghai Animation Film Studio,add some,Kids,PG - Children,5.51,12546.0,15225.0,901.0,0.0
Hei Mao Jing Zhang (1992),TV,12,Finished Airing,Winter 1992,Winter,1992.0,"Action, Adventure, Comedy, Mystery","Detective, Racing",Shanghai Animation Film Studio,add some,Kids,PG - Children,5.78,11445.0,17104.0,578.0,0.0
Days: Touin Gakuen-sen!,OVA,3,Finished Airing,,,,Sports,"School, Team Sports",MAPPA,add some,Shounen,PG-13 - Teens 13 or older,7.43,2319.0,4874.0,25175.0,47.0
Pokemon Generations,ONA,18,Finished Airing,,,,"Action, Adventure, Fantasy",Strategy Game,OLM,add some,Kids,PG - Children,7.49,2101.0,3058.0,63316.0,90.0
Kidou Senshi Gakuen: G-Reco Koushien,Special,9,Finished Airing,,,,"Comedy, Sports","Mecha, Parody",Studio PuYUKAI,add some,,PG-13 - Teens 13 or older,5.09,13625.0,14386.0,1129.0,0.0
"Wake Up, Girls! Shin Shou",TV,12,Finished Airing,Fall 2017,Fall,2017.0,Drama,"Idols (Female), Music",Millepensee,"TV Tokyo, Sotsu, Tatsunoko Production, AT-X, TOHO, KlockWorx, DIVE II Entertainment, 81 Produce, Good Smile Company, Avex Pictures, KLab, Rakuten, Epicross",,PG-13 - Teens 13 or older,6.55,7022.0,5925.0,15309.0,21.0
Centaur no Nayami,TV,12,Finished Airing,Summer 2017,Summer,2017.0,"Fantasy, Slice of Life","School, Urban Fantasy",Haoliners Animation League,"Tokuma Shoten, MAGES., Yomiuri TV Enterprise, Kanon Sound, Emon, RAY, NichiNare, Top Marshal, Crunchyroll SC Anime Fund",Seinen,R+ - Mild Nudity,6.42,7802.0,2333.0,99507.0,147.0
Gou-chan.: Moko to Chinjuu no Mori no Nakama-tachi,Movie,1,Finished Airing,,,,Adventure,,Shin-Ei Animation,TV Asahi,Kids,G - All Ages,5.9,10808.0,17390.0,547.0,0.0
Toriko no Kusari: Shojo-tachi wo Yogosu Midara na Kusabi,OVA,2,Finished Airing,,,,Hentai,,BreakBottle,Mary Jane,,Rx - Hentai,6.54,,7646.0,8138.0,30.0
Anata wa Watashi no Mono,OVA,2,Finished Airing,,,,Hentai,,New Generation,Mary Jane,,Rx - Hentai,6.16,,7019.0,10191.0,36.0
Terra Formars: Earth-hen,OVA,2,Finished Airing,,,,"Action, Horror, Sci-Fi, Suspense","Gore, Space, Survival","TYO Animations, LIDENFILMS",Shueisha,Seinen,R - 17+ (violence & profanity),6.04,10049.0,6519.0,12022.0,6.0
Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!,Special,1,Finished Airing,,,,"Action, Comedy",School,Satelight,comico,,PG-13 - Teens 13 or older,6.92,4914.0,4217.0,34743.0,53.0
Natsume Yuujinchou Go Specials,Special,2,Finished Airing,,,,"Slice of Life, Supernatural","Iyashikei, Mythology",Shuka,add some,Shoujo,PG-13 - Teens 13 or older,8.31,294.0,3423.0,51504.0,66.0
Koisuru Shirokuma,Movie,21,Finished Airing,,,,"Boys Love, Comedy",Anthropomorphic,Gathering,"Shochiku, Kadokawa",Josei,G - All Ages,6.6,6706.0,7656.0,8113.0,22.0
Yoru wa Mijikashi Arukeyo Otome,Movie,1,Finished Airing,,,,"Comedy, Romance",Adult Cast,Science SARU,"Fuji TV, TOHO, BS Fuji, Kadokawa",,R+ - Mild Nudity,8.17,473.0,1838.0,138095.0,1823.0
"Soushin Shoujo Matoi: Yuma-chin, Matomemashita - Nanimo Kitenakute... Natsu",Special,1,Finished Airing,,,,Supernatural,,White Fox,"Bandai Visual, Lantis",,PG-13 - Teens 13 or older,5.82,11246.0,11144.0,2855.0,2.0
Saint Seiya: Saintia Shou,ONA,10,Finished Airing,,,,"Action, Adventure",,Gonzo,Toei Animation,Seinen,PG-13 - Teens 13 or older,5.64,12098.0,5878.0,15632.0,36.0
Pokemon Movie 20: Kimi ni Kimeta!,Movie,1,Finished Airing,,,,"Action, Adventure, Comedy",,OLM,"TV Tokyo, TOHO, Shogakukan, JR East Marketing & Communications",Kids,PG - Children,7.17,3672.0,3003.0,65248.0,77.0
Mary to Majo no Hana,Movie,1,Finished Airing,,,,"Adventure, Fantasy",,Studio Ponoc,"Khara, Dentsu, Yomiuri Telecasting, TOHO, Nippon Television Network, Amuse, Hakuhodo DY Media Partners, Lawson, Kadokawa, Sapporo Television Broadcasting, Miyagi Television Broadcasting, Shizuoka Daiichi Television, Chukyo TV Broadcasting, Hiroshima Television, Fukuoka Broadcasting System, LINE Corporation, Walt Disney Japan, KEN ON, D.N. Dream Partners, Yomiuri Shimbun",,G - All Ages,7.26,3156.0,2199.0,108377.0,190.0
Inuyashiki,TV,11,Finished Airing,Fall 2017,Fall,2017.0,"Action, Drama, Sci-Fi, Suspense","Gore, Psychological",MAPPA,"Aniplex, Dentsu, Kodansha, Fuji TV, DMM pictures",Seinen,R - 17+ (violence & profanity),7.63,1540.0,336.0,691041.0,4042.0
